"","gene_ID","gene_symbol","annotation_ID","primary_FBgn"
"8152","35627","pgant3","CG4445","FBgn0027558"
"8153","32682","CG4928","CG4928","FBgn0027556"
"8154","38886","CG8042","CG8042","FBgn0027554"
"8155","31681","NELF-B","CG32721","FBgn0027553"
"8156","38463","CG10863","CG10863","FBgn0027552"
"8157","34486","CG6495","CG6495","FBgn0027550"
"8158","38897","CG7927","CG7927","FBgn0027549"
"8159","35756","nito","CG2910","FBgn0027548"
"8160","38262","CG1927","CG1927","FBgn0027547"
"8161","31533","CG4766","CG4766","FBgn0027546"
"8162","43607","CG2217","CG2217","FBgn0027544"
"8163","42956","CG5807","CG5807","FBgn0027539"
"8164","36585","beta4GalNAcTA","CG8536","FBgn0027538"
"8165","32350","CG11092","CG11092","FBgn0027537"
"8166","37198","botv","CG15110","FBgn0027535"
"8167","40448","CG7139","CG7139","FBgn0027532"
"8168","37304","CG8920","CG8920","FBgn0027529"
"8169","32660","CG9634","CG9634","FBgn0027528"
"8170","40760","Osi6","CG1151","FBgn0027527"
"8171","42726","CG6697","CG6697","FBgn0027526"
"8172","41226","CG3909","CG3909","FBgn0027524"
"8173","32591","CG3679","CG3679","FBgn0027521"
"8174","43505","CG7609","CG7609","FBgn0027518"
"8175","34069","CG7115","CG7115","FBgn0027515"
"8176","40789","CG1024","CG1024","FBgn0027514"
"8177","35878","ana2","CG8262","FBgn0027513"
"8178","42793","CG10254","CG10254","FBgn0027512"
"8179","33389","CG7261","CG7261","FBgn0027509"
"8180","43095","tankyrase","CG4719","FBgn0027508"
"8181","35500","CG1344","CG1344","FBgn0027507"
"8182","36959","EDTP","CG6542","FBgn0027506"
"8183","34626","rab3-GAP","CG7061","FBgn0027505"
"8184","36302","CG8878","CG8878","FBgn0027504"
"8185","41072","CG11970","CG11970","FBgn0027503"
"8186","39850","spd-2","CG17286","FBgn0027500"
"8187","36133","CG12340","CG12340","FBgn0027499"
"8188","32042","CG2061","CG2061","FBgn0027498"
"8189","40710","Madm","CG1098","FBgn0027497"
"8190","33908","epsilonCOP","CG9543","FBgn0027496"
"8191","36299","CG8378","CG8378","FBgn0027495"
"8192","42466","CG17273","CG17273","FBgn0027493"
"8193","43312","wdb","CG5643","FBgn0027492"
"8194","34385","Cdk5alpha","CG5387","FBgn0027491"
"8195","34172","D12","CG13400","FBgn0027490"
"8196","34503","Dnz1","CG6627","FBgn0027453"
"8197","41850","MRG15","CG6363","FBgn0027378"
"8198","43071","rha","CG11908","FBgn0027376"
"8199","39594","RecQ5","CG4879","FBgn0027375"
"8200","40297","Six4","CG3871","FBgn0027364"
"8201","34505","Stam","CG6521","FBgn0027363"
"8202","37478","Tim10","CG9878","FBgn0027360"
"8203","32081","Tim8","CG1728","FBgn0027359"
"8204","3772080","CG12788","CG17767","FBgn0027358"
"8205","36383","Amph","CG8604","FBgn0027356"
"8206","44117","bgm","CG4501","FBgn0027348"
"8207","31023","fz3","CG16785","FBgn0027343"
"8208","31659","fz4","CG4626","FBgn0027342"
"8209","3354921","Gfat1","CG12449","FBgn0027341"
"8210","43924","jim","CG11352","FBgn0027339"
"8211","41158","Kap-alpha3","CG9423","FBgn0027338"
"8212","32850","Rip11","CG6606","FBgn0027335"
"8213","33033","l(1)G0004","CG11738","FBgn0027334"
"8214","31811","l(1)G0020","CG1994","FBgn0027330"
"8215","32518","Tcp-1zeta","CG8231","FBgn0027329"
"8216","31212","l(1)G0144","CG3073","FBgn0027296"
"8217","32940","l(1)G0156","CG12233","FBgn0027291"
"8218","32483","Gmap","CG33206","FBgn0027287"
"8219","31712","l(1)G0193","CG2206","FBgn0027280"
"8220","33137","l(1)G0196","CG14616","FBgn0027279"
"8221","32102","Kmn1","CG1558","FBgn0027259"
"8222","38047","miple","CG1221","FBgn0027111"
"8223","42018","npf","CG10342","FBgn0027109"
"8224","31646","inx2","CG4590","FBgn0027108"
"8225","33027","inx7","CG2977","FBgn0027106"
"8226","3885567","Dyrk3","CG40478","FBgn0027101"
"8227","41983","Manf","CG7013","FBgn0027095"
"8228","34156","Aats-ala","CG13391","FBgn0027094"
"8229","32539","Aats-arg","CG9020","FBgn0027093"
"8230","36784","Aats-cys","CG8431","FBgn0027091"
"8231","45786","Aats-gln","CG10506","FBgn0027090"
"8232","39644","Aats-gly","CG6778","FBgn0027088"
"8233","32841","Aats-his","CG6335","FBgn0027087"
"8234","45785","Aats-ile","CG11471","FBgn0027086"
"8235","38581","Aats-leu","CG7479","FBgn0027085"
"8236","31904","Aats-lys","CG12141","FBgn0027084"
"8237","45784","Aats-thr","CG5353","FBgn0027081"
"8238","39829","Aats-tyr","CG4561","FBgn0027080"
"8239","45783","Aats-val","CG4062","FBgn0027079"
"8240","35137","CG17324","CG17324","FBgn0027074"
"8241","37420","CG4302","CG4302","FBgn0027073"
"8242","35139","CG17322","CG17322","FBgn0027070"
"8243","35584","Eb1","CG3265","FBgn0027066"
"8244","40063","CSN1b","CG3889","FBgn0027057"
"8245","40308","CSN3","CG18332","FBgn0027055"
"8246","35759","CSN4","CG8725","FBgn0027054"
"8247","42000","CSN5","CG14884","FBgn0027053"
"8248","34433","CHIP","CG5203","FBgn0027052"
"8249","50364","CG13364","CG13364","FBgn0026879"
"8250","31167","CG4325","CG4325","FBgn0026878"
"8251","31072","CG11403","CG11403","FBgn0026876"
"8252","31029","CG13358","CG13358","FBgn0026874"
"8253","31140","MED18","CG14802","FBgn0026873"
"8254","43796","Thd1","CG1981","FBgn0026869"
"8255","33167","Nhe1","CG12178","FBgn0026787"
"8256","33440","Rad1","CG3240","FBgn0026778"
"8257","43785","Rad23","CG1836","FBgn0026777"
"8258","35559","Trap1","CG3152","FBgn0026761"
"8259","34761","Tehao","CG7121","FBgn0026760"
"8260","53584","Ugt37b1","CG9481","FBgn0026755"
"8261","42341","Vha13","CG6213","FBgn0026753"
"8262","31451","XRCC1","CG4208","FBgn0026751"
"8263","32295","Yippee","CG1989","FBgn0026749"
"8264","36406","mRpL18","CG12373","FBgn0026741"
"8265","39671","CG7857","CG7857","FBgn0026738"
"8266","41872","CG6171","CG6171","FBgn0026737"
"8267","35747","drosha","CG8730","FBgn0026722"
"8268","34176","fu12","CG17608","FBgn0026718"
"8269","32373","l(1)G0007","CG32604","FBgn0026713"
"8270","31475","l(1)G0045","CG32763","FBgn0026702"
"8271","31793","l(1)G0095","CG12113","FBgn0026679"
"8272","32513","l(1)G0136","CG8198","FBgn0026666"
"8273","41870","ldlCp","CG6177","FBgn0026634"
"8274","40093","nes","CG9655","FBgn0026630"
"8275","40589","tacc","CG9765","FBgn0026620"
"8276","36405","Taz","CG8766","FBgn0026619"
"8277","41913","alpha-Man-IIb","CG4606","FBgn0026616"
